,IMDB,Metacritic,Rotten Tomatoes,Rank,Worldwide Box Office,Awards,Actors_1,Actors_2,Actors_3,directors_1,directors_2,Country_1,language_1,language_2,Genre_1,Genre_2
0,8.9,94,0.94,726.0,212928762,1,5771,232,3537,1352,0,63,27,92,5,7
1,6.6,53,0.52,107.0,708996336,0,293,1811,2535,1041,0,63,27,0,0,1
2,9.3,80,0.91,3935.0,28307092,0,5770,4343,668,511,0,63,27,0,7,0
3,8.5,87,0.96,301.0,385524784,1,4175,1095,3561,1457,0,63,27,0,1,4
4,7.9,62,0.88,2857.0,45875171,0,1786,4637,402,843,0,63,27,0,4,7
5,7.8,60,0.7,2338.0,61466436,0,5329,3095,2663,1380,0,63,27,92,1,4
6,8.6,85,0.96,518.0,275726716,5,2838,3554,3236,893,0,63,27,0,5,7
7,8.1,68,0.91,32.0,1038812584,3,5235,3531,2669,1605,0,63,27,92,1,18
8,8.5,83,0.93,40.0,986214868,2,5166,4015,4472,1467,1413,63,27,93,2,1
9,8.6,65,0.81,412.0,328125643,0,4343,296,1303,358,0,63,27,0,5,7
10,8.3,95,1.0,335.0,364545516,1,5823,5758,1595,848,0,63,27,0,2,1
11,8.1,71,0.82,2840.0,46189568,0,2662,2928,3162,802,488,63,27,34,4,5
12,8.6,91,0.93,217.0,485035085,5,5823,5832,1695,1605,0,63,27,32,7,21
13,8.8,66,0.79,1547.0,100851705,0,1708,700,4074,358,0,63,27,0,7,0
14,8.7,73,0.88,231.0,463517383,4,3301,3549,893,988,1015,63,27,0,0,18
15,8.5,67,0.76,236.0,457683805,5,5189,2835,1175,1403,0,63,27,0,0,1
16,8.5,67,0.76,7234.0,8205703,5,5189,2835,1175,1403,0,63,27,0,0,1
17,7.4,64,0.81,476.0,296872367,0,2301,4611,2319,205,0,63,27,0,0,1
18,7.6,64,0.81,42.0,975047606,0,4951,3816,5026,253,0,62,27,0,1,8
19,8.8,92,0.91,57.0,887210985,4,104,4489,5329,1313,0,38,27,86,1,7
20,8.7,87,0.95,53.0,934699645,2,782,5329,2884,1313,0,38,27,86,1,7
21,5.9,48,0.48,541.0,267200000,0,5972,471,3956,1407,0,63,27,34,0,1
22,8.1,90,0.99,51.0,936429370,1,114,1766,151,67,1005,63,27,0,2,1
23,8.9,94,0.93,21.0,1141403341,11,4489,179,5329,1313,0,38,27,75,1,7
24,7.2,63,0.66,1733.0,89476265,0,6054,1056,4661,5,0,63,27,32,4,0
25,7.0,66,0.83,1227.0,130953026,0,3664,4808,5787,1081,0,63,27,34,4,0
26,8.0,74,0.77,1033.0,158527918,0,2768,1524,165,513,1447,63,27,0,5,20
27,8.2,70,0.84,348.0,359142722,0,1049,4142,3638,286,0,63,27,105,0,1
28,8.5,85,0.91,490.0,289660619,4,3608,3994,2421,1090,0,63,27,17,5,7
29,8.5,66,0.76,1484.0,104407366,0,2301,1049,4142,286,0,63,27,0,7,15
30,8.2,62,0.73,1232.0,130214162,0,4378,2307,5531,690,0,63,27,0,0,7
31,8.0,80,0.94,153.0,594420283,0,1287,1870,3804,1086,0,62,27,32,0,1
32,8.0,80,0.94,3042.0,41744718,0,1287,1870,3804,1086,0,62,27,32,0,1
33,7.1,61,0.57,108.0,708272592,0,5426,4080,3098,1118,0,63,27,92,0,1
34,9.0,84,0.94,39.0,1001996207,2,1049,2228,8,286,0,63,27,57,0,5
35,7.9,79,0.93,159.0,585171547,0,5044,5705,2662,885,0,63,27,70,0,1
36,6.6,58,0.65,154.0,591692078,0,1287,4513,3986,1037,0,62,27,92,0,1
37,7.0,71,0.81,822.0,191145256,0,2671,5044,408,128,0,63,27,57,0,1
38,5.8,32,0.34,463.0,302469017,0,53,1086,2159,1577,0,63,27,32,0,1
39,7.7,73,0.78,229.0,465764086,0,704,1664,6144,1673,0,63,27,0,4,0
40,8.3,69,0.88,428.0,316915264,1,700,4354,1076,1352,464,18,27,34,1,7
41,8.0,82,0.94,297.0,386839614,1,1039,6154,3604,657,0,63,27,0,0,1
42,7.8,51,0.58,667.0,226941585,0,3638,3813,3586,1344,0,17,27,32,0,20
43,8.2,88,0.98,103.0,731463377,2,1693,1101,3063,1295,159,63,27,0,2,1
44,8.2,88,0.98,103.0,731463377,1,1693,1101,3063,1295,159,63,27,0,2,1
