,Unnamed: 0,Box Office,IMDB,Metacritic,Released,Rotten Tomatoes,Rank,Worldwide Box Office,Domestic Box Office,International Box Office,Awards,Actors_1,Actors_2,Actors_3,directors_1,directors_2,Country_1,language_1,language_2,Genre_1,Genre_2
0,0,0,8.9,94,34621,0.94,726,212928762,107928762,105000000,1,5771,232,3537,1352,0,63,27,92,5,7
1,1,183277573,6.6,53,41761,0.52,107,708996336,202853933,506142403,0,293,1811,2535,1041,0,63,27,0,0,1
2,2,0,9.3,80,34621,0.91,3935,28307092,28241469,65623,0,5770,4343,668,511,0,63,27,0,7,0
3,3,2925880,8.5,87,31231,0.96,301,385524784,212259762,173265022,1,4175,1095,3561,1457,0,63,27,0,1,4
4,4,0,7.9,62,31093,0.88,2857,45875171,45875171,0,0,1786,4637,402,843,0,63,27,0,4,7
5,5,0,7.8,60,31205,0.7,2338,61466436,61389680,76756,0,5329,3095,2663,1380,0,63,27,92,1,4
6,6,0,8.6,85,33283,0.96,518,275726716,130726716,145000000,5,2838,3554,3236,893,0,63,27,0,5,7
7,7,45299680,8.1,68,34131,0.91,32,1038812584,395708305,643104279,3,5235,3531,2669,1605,0,63,27,92,1,18
8,8,94240635,8.5,83,34509,0.93,40,986214868,421785283,564429585,2,5166,4015,4472,1467,1413,63,27,93,2,1
9,9,0,8.6,65,34964,0.81,412,328125643,100125643,228000000,0,4343,296,1303,358,0,63,27,0,5,7
10,10,0,8.3,95,35025,1.0,335,364545516,191796233,172749283,1,5823,5758,1595,848,0,63,27,0,2,1
11,11,0,8.1,71,35860,0.82,2840,46189568,17498804,28690764,0,2662,2928,3162,802,488,63,27,34,4,5
12,12,0,8.6,91,36000,0.93,217,485035085,216335085,268700000,5,5823,5832,1695,1605,0,63,27,32,7,21
13,13,0,8.8,66,36448,0.79,1547,100851705,37030102,63821603,0,1708,700,4074,358,0,63,27,0,7,0
14,14,0,8.7,73,36250,0.88,231,463517383,171479930,292037453,4,3301,3549,893,988,1015,63,27,0,0,18
15,15,0,8.5,67,36651,0.76,236,457683805,187683805,270000000,5,5189,2835,1175,1403,0,63,27,0,0,1
16,16,0,8.5,67,36651,0.76,7234,8205703,8205703,0,5,5189,2835,1175,1403,0,63,27,0,0,1
17,17,156164829,7.4,64,36721,0.81,476,296872367,157299717,139572650,0,2301,4611,2319,205,0,63,27,0,0,1
18,18,317557891,7.6,64,37211,0.81,42,975047606,317871467,657176139,0,4951,3816,5026,253,0,62,27,0,1,8
19,19,314000000,8.8,92,37244,0.91,57,887210985,315544750,571666235,4,104,4489,5329,1313,0,38,27,86,1,7
20,20,339700000,8.7,87,37608,0.95,53,934699645,342548984,592150661,2,782,5329,2884,1313,0,38,27,86,1,7
21,21,141134092,5.9,48,37477,0.48,541,267200000,141930000,125270000,0,5972,471,3956,1407,0,63,27,34,0,1
22,22,380529370,8.1,90,37771,0.99,51,936429370,380529370,555900000,1,114,1766,151,67,1005,63,27,0,2,1
