Position,Const,Created,Modified,Description,Title,URL,Title Type
1,tt0110912,2013-04-23,2013-04-23,,Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie
2,tt1872181,2013-04-23,2013-04-23,,The Amazing Spider-Man 2,https://www.imdb.com/title/tt1872181/,movie
3,tt0111161,2013-04-23,2013-04-23,,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,movie
4,tt0076759,2013-04-23,2013-04-23,,Star Wars,https://www.imdb.com/title/tt0076759/,movie
5,tt0088763,2013-04-23,2013-04-23,,Back to the Future,https://www.imdb.com/title/tt0088763/,movie
6,tt0088847,2013-04-23,2013-04-23,,The Breakfast Club,https://www.imdb.com/title/tt0088847/,movie
7,tt0089218,2013-04-23,2013-04-23,,The Goonies,https://www.imdb.com/title/tt0089218/,movie
8,tt0102926,2013-04-23,2013-04-23,,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,movie
9,tt0107290,2013-04-23,2013-04-23,,Jurassic Park,https://www.imdb.com/title/tt0107290/,movie
10,tt0110357,2013-04-23,2013-04-23,,The Lion King,https://www.imdb.com/title/tt0110357/,movie
11,tt0114369,2013-04-23,2013-04-23,,Se7en,https://www.imdb.com/title/tt0114369/,movie
12,tt0114709,2013-04-23,2013-04-23,,Toy Story,https://www.imdb.com/title/tt0114709/,movie
13,tt0118715,2013-04-23,2013-04-23,,The Big Lebowski,https://www.imdb.com/title/tt0118715/,movie
14,tt0120815,2013-04-23,2013-04-23,,Saving Private Ryan,https://www.imdb.com/title/tt0120815/,movie
15,tt0137523,2013-04-23,2013-04-23,,Fight Club,https://www.imdb.com/title/tt0137523/,movie
16,tt0133093,2013-04-23,2013-04-23,,The Matrix,https://www.imdb.com/title/tt0133093/,movie
17,tt0120915,2013-04-23,2013-04-23,,Star Wars: Episode I - The Phantom Menace,https://www.imdb.com/title/tt0120915/,movie
18,tt0172495,2013-04-23,2013-04-23,,Gladiator,https://www.imdb.com/title/tt0172495/,movie
19,tt0120903,2013-04-23,2013-04-23,,X-Men,https://www.imdb.com/title/tt0120903/,movie
20,tt0241527,2013-04-23,2013-04-23,,Harry Potter and the Sorcerer's Stone,https://www.imdb.com/title/tt0241527/,movie
21,tt0120737,2013-04-23,2013-04-23,,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,movie
22,tt0167261,2013-04-23,2013-04-23,,The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/,movie
23,tt0295701,2013-04-23,2013-04-23,,xXx,https://www.imdb.com/title/tt0295701/,movie
24,tt0266543,2013-04-23,2013-04-23,,Finding Nemo,https://www.imdb.com/title/tt0266543/,movie
25,tt0167260,2013-04-23,2013-04-23,,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,movie
26,tt0357413,2013-04-23,2013-04-23,,Anchorman: The Legend of Ron Burgundy,https://www.imdb.com/title/tt0357413/,movie
27,tt0377092,2013-04-23,2013-04-23,,Mean Girls,https://www.imdb.com/title/tt0377092/,movie
28,tt0401792,2013-04-23,2013-04-23,,Sin City,https://www.imdb.com/title/tt0401792/,movie
29,tt0121766,2013-04-23,2013-04-23,,Star Wars: Episode III - Revenge of the Sith,https://www.imdb.com/title/tt0121766/,movie
30,tt0372784,2013-04-23,2013-04-23,,Batman Begins,https://www.imdb.com/title/tt0372784/,movie
31,tt0407887,2013-04-23,2013-04-23,,The Departed,https://www.imdb.com/title/tt0407887/,movie
32,tt0482571,2013-04-23,2013-04-23,,The Prestige,https://www.imdb.com/title/tt0482571/,movie
33,tt0434409,2013-04-23,2013-04-23,,V for Vendetta,https://www.imdb.com/title/tt0434409/,movie
34,tt0381061,2013-04-23,2013-04-23,,Casino Royale,https://www.imdb.com/title/tt0381061/,movie
35,tt0418279,2013-04-23,2013-04-23,,Transformers,https://www.imdb.com/title/tt0418279/,movie
36,tt0468569,2013-04-23,2013-04-23,,The Dark Knight,https://www.imdb.com/title/tt0468569/,movie
37,tt0371746,2013-04-23,2013-04-23,,Iron Man,https://www.imdb.com/title/tt0371746/,movie
38,tt0830515,2013-04-23,2013-04-23,,Quantum of Solace,https://www.imdb.com/title/tt0830515/,movie
39,tt0942385,2013-04-23,2013-04-23,,Tropic Thunder,https://www.imdb.com/title/tt0942385/,movie
40,tt1046173,2013-04-23,2013-04-23,,G.I. Joe: The Rise of Cobra,https://www.imdb.com/title/tt1046173/,movie
41,tt1119646,2013-04-23,2013-04-23,,The Hangover,https://www.imdb.com/title/tt1119646/,movie
42,tt0361748,2013-04-23,2013-04-23,,Inglourious Basterds,https://www.imdb.com/title/tt0361748/,movie
43,tt0796366,2013-04-23,2013-04-23,,Star Trek,https://www.imdb.com/title/tt0796366/,movie
44,tt0936501,2013-04-23,2013-04-23,,Taken,https://www.imdb.com/title/tt0936501/,movie
45,tt1049413,2013-04-23,2013-04-23,,Up,https://www.imdb.com/title/tt1049413/,movie
46,tt0458525,2013-04-23,2013-04-23,,X-Men Origins: Wolverine,https://www.imdb.com/title/tt0458525/,movie
47,tt1156398,2013-04-23,2013-04-23,,Zombieland,https://www.imdb.com/title/tt1156398/,movie
48,tt1190080,2013-04-23,2013-04-23,,2012,https://www.imdb.com/title/tt1190080/,movie
49,tt0499549,2013-04-23,2013-04-23,,Avatar,https://www.imdb.com/title/tt0499549/,movie
50,tt1323594,2013-04-23,2013-04-23,,Despicable Me,https://www.imdb.com/title/tt1323594/,movie
51,tt1375670,2013-04-23,2013-04-23,,Grown Ups,https://www.imdb.com/title/tt1375670/,movie
52,tt0892769,2013-04-23,2013-04-23,,How to Train Your Dragon,https://www.imdb.com/title/tt0892769/,movie
53,tt1375666,2013-04-23,2013-04-23,,Inception,https://www.imdb.com/title/tt1375666/,movie
54,tt1228705,2013-04-23,2013-04-23,,Iron Man 2,https://www.imdb.com/title/tt1228705/,movie
55,tt1250777,2013-04-23,2013-04-23,,Kick-Ass,https://www.imdb.com/title/tt1250777/,movie
56,tt1245526,2013-04-23,2013-04-23,,RED,https://www.imdb.com/title/tt1245526/,movie
57,tt1130884,2013-04-23,2013-04-23,,Shutter Island,https://www.imdb.com/title/tt1130884/,movie
58,tt1104001,2013-04-23,2013-04-23,,Tron,https://www.imdb.com/title/tt1104001/,movie
59,tt0435761,2013-04-23,2013-04-23,,Toy Story 3,https://www.imdb.com/title/tt0435761/,movie
60,tt0780504,2013-04-23,2013-04-23,,Drive,https://www.imdb.com/title/tt0780504/,movie
61,tt1596343,2013-04-23,2013-04-23,,Fast Five,https://www.imdb.com/title/tt1596343/,movie
62,tt1201607,2013-04-23,2013-04-23,,Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/,movie
63,tt1219289,2013-04-23,2013-04-23,,Limitless,https://www.imdb.com/title/tt1219289/,movie
64,tt1298650,2013-04-23,2013-04-23,,Pirates of the Caribbean: On Stranger Tides,https://www.imdb.com/title/tt1298650/,movie
65,tt1270798,2013-04-23,2013-04-23,,X: First Class,https://www.imdb.com/title/tt1270798/,movie
66,tt1568346,2013-04-23,2013-04-23,,The Girl with the Dragon Tattoo,https://www.imdb.com/title/tt1568346/,movie
67,tt1454029,2013-04-23,2013-04-23,,The Help,https://www.imdb.com/title/tt1454029/,movie
68,tt1637688,2013-04-23,2013-04-23,,In Time,https://www.imdb.com/title/tt1637688/,movie
69,tt1232829,2013-04-23,2013-04-23,,21 Jump Street,https://www.imdb.com/title/tt1232829/,movie
70,tt0948470,2013-04-23,2013-04-23,,The Amazing Spider-Man,https://www.imdb.com/title/tt0948470/,movie
71,tt1605630,2013-04-23,2013-04-23,,American Reunion,https://www.imdb.com/title/tt1605630/,movie
72,tt0848228,2013-04-23,2013-04-23,,The Avengers,https://www.imdb.com/title/tt0848228/,movie
73,tt1440129,2013-04-23,2013-04-23,,Battleship,https://www.imdb.com/title/tt1440129/,movie
74,tt1194173,2013-04-23,2013-04-23,,The Bourne Legacy,https://www.imdb.com/title/tt1194173/,movie
75,tt1217209,2013-04-23,2013-04-23,,Brave,https://www.imdb.com/title/tt1217209/,movie
76,tt1259521,2013-04-23,2013-04-23,,The Cabin in the Woods,https://www.imdb.com/title/tt1259521/,movie
77,tt1790886,2013-04-23,2013-04-23,,The Campaign,https://www.imdb.com/title/tt1790886/,movie
78,tt1371111,2013-04-23,2013-04-23,,Cloud Atlas,https://www.imdb.com/title/tt1371111/,movie
79,tt1345836,2013-04-23,2013-04-23,,The Dark Knight Rises,https://www.imdb.com/title/tt1345836/,movie
80,tt1077368,2013-04-23,2013-04-23,,Dark Shadows,https://www.imdb.com/title/tt1077368/,movie
81,tt1853728,2013-04-23,2013-04-23,,Django Unchained,https://www.imdb.com/title/tt1853728/,movie
