Position,Const,Created,Modified,Description,Title,URL,Title Type
1001,tt1294226,2013-04-23,2013-04-23,,The Last Song,https://www.imdb.com/title/tt1294226/,movie
1002,tt1219342,2013-04-23,2013-04-23,,Legend of the Guardians: The Owls of Ga'Hoole,https://www.imdb.com/title/tt1219342/,movie
1003,tt0480255,2013-04-23,2013-04-23,,The Losers,https://www.imdb.com/title/tt0480255/,movie
1004,tt1470023,2013-04-23,2013-04-23,,MacGruber,https://www.imdb.com/title/tt1470023/,movie
1005,tt1053424,2013-04-23,2013-04-23,,Repo Men,https://www.imdb.com/title/tt1053424/,movie
1006,tt1564585,2013-04-23,2013-04-23,,Skyline,https://www.imdb.com/title/tt1564585/,movie
1007,tt1135084,2013-04-23,2013-04-23,,Takers,https://www.imdb.com/title/tt1135084/,movie
1008,tt1185416,2013-04-23,2013-04-23,,When in Rome,https://www.imdb.com/title/tt1185416/,movie
1009,tt0403702,2013-04-23,2013-04-23,,Youth in Revolt,https://www.imdb.com/title/tt0403702/,movie
1010,tt1226753,2013-04-23,2013-04-23,,The Debt,https://www.imdb.com/title/tt1226753/,movie
1011,tt1578275,2013-04-23,2013-04-23,,The Dilemma,https://www.imdb.com/title/tt1578275/,movie
1012,tt1034389,2013-04-23,2013-04-23,,The Eagle,https://www.imdb.com/title/tt1034389/,movie
1013,tt1396218,2013-04-23,2013-04-23,,Mr. Popper's Penguins,https://www.imdb.com/title/tt1396218/,movie
1014,tt1430607,2013-04-23,2013-04-23,,Arthur Christmas,https://www.imdb.com/title/tt1430607/,movie
1015,tt1053810,2013-04-23,2013-04-23,,The Big Year,https://www.imdb.com/title/tt1053810/,movie
1016,tt1462041,2013-04-23,2013-04-23,,Dream House,https://www.imdb.com/title/tt1462041/,movie
1017,tt1985017,2013-04-23,2013-04-23,,Atlas Shrugged II: The Strike,https://www.imdb.com/title/tt1985017/,movie
1018,tt1568921,2013-04-23,2013-04-23,,Kari-gurashi no Arietti,https://www.imdb.com/title/tt1568921/,movie
1019,tt0763831,2013-04-23,2013-04-23,,A Thousand Words,https://www.imdb.com/title/tt0763831/,movie
1020,tt2103217,2013-04-23,2013-04-23,,Maniac,https://www.imdb.com/title/tt2103217/,movie
1021,tt1869716,2013-04-23,2013-04-23,,The East,https://www.imdb.com/title/tt1869716/,movie
1022,tt1454468,2013-04-23,2013-04-23,,Gravity,https://www.imdb.com/title/tt1454468/,movie
1023,tt1996264,2013-04-23,2013-04-23,,"For a Good Time, Call...",https://www.imdb.com/title/tt1996264/,movie
1024,tt1734433,2013-04-23,2013-04-23,,Eden,https://www.imdb.com/title/tt1734433/,movie
1025,tt1606339,2013-04-23,2013-04-23,,Sushi Girl,https://www.imdb.com/title/tt1606339/,movie
1026,tt1935896,2013-04-23,2013-04-23,,The ABCs of Death,https://www.imdb.com/title/tt1935896/,movie
1027,tt1545106,2013-04-23,2013-04-23,,Vamps,https://www.imdb.com/title/tt1545106/,movie
1028,tt1764625,2013-04-23,2013-04-23,,Las aventuras de Tadeo Jones,https://www.imdb.com/title/tt1764625/,movie
1029,tt1226240,2013-04-23,2013-04-23,,A Late Quartet,https://www.imdb.com/title/tt1226240/,movie
1030,tt1598873,2013-04-23,2013-04-23,,Cleanskin,https://www.imdb.com/title/tt1598873/,movie
1031,tt2040560,2013-04-23,2013-04-23,,The Pact,https://www.imdb.com/title/tt2040560/,movie
1032,tt2231554,2013-04-23,2013-04-23,,Grave Encounters 2,https://www.imdb.com/title/tt2231554/,movie
1033,tt0873886,2013-04-23,2013-04-23,,Red State,https://www.imdb.com/title/tt0873886/,movie
1034,tt1588398,2013-04-23,2013-04-23,,Sleeping Beauty,https://www.imdb.com/title/tt1588398/,movie
1035,tt1214962,2013-04-23,2013-04-23,,Seeking Justice,https://www.imdb.com/title/tt1214962/,movie
1036,tt1646980,2013-04-23,2013-04-23,,The Double,https://www.imdb.com/title/tt1646980/,movie
1037,tt1675192,2013-04-23,2013-04-23,,Take Shelter,https://www.imdb.com/title/tt1675192/,movie
1038,tt1674784,2013-04-23,2013-04-23,,Trespass,https://www.imdb.com/title/tt1674784/,movie
1039,tt1439572,2013-04-23,2013-04-23,,Perfect Sense,https://www.imdb.com/title/tt1439572/,movie
1040,tt1172991,2013-04-23,2013-04-23,,The Company Men,https://www.imdb.com/title/tt1172991/,movie
1041,tt0798817,2013-04-23,2013-04-23,,13,https://www.imdb.com/title/tt0798817/,movie
1042,tt0817177,2013-04-23,2013-04-23,,Flipped,https://www.imdb.com/title/tt0817177/,movie
