,Rank,Release Year,Movie,Worldwide Box Office,Domestic Box Office,International Box Office
1,1,2009,Avatar,"$2,776,345,279","$760,507,625","$2,015,837,654"
2,2,2019,Avengers: Endgame,"$2,272,706,419","$644,506,419","$1,628,200,000"
3,3,1997,Titanic,"$2,208,208,395","$659,363,944","$1,548,844,451"
4,4,2015,Star Wars Ep. VII: The Force Awakens,"$2,053,311,220","$936,662,225","$1,116,648,995"
5,5,2018,Avengers: Infinity War,"$2,048,134,200","$678,815,482","$1,369,318,718"
6,6,2015,Jurassic World,"$1,648,854,864","$652,270,625","$996,584,239"
7,7,2015,Furious 7,"$1,518,722,794","$353,007,020","$1,165,715,774"
8,8,2012,The Avengers,"$1,517,935,897","$623,279,547","$894,656,350"
9,9,2015,Avengers: Age of Ultron,"$1,403,013,963","$459,005,868","$944,008,095"
10,10,2018,Black Panther,"$1,348,258,224","$700,059,566","$648,198,658"
11,11,2011,Harry Potter and the Deathly Hallows: Part II,"$1,341,693,157","$381,193,157","$960,500,000"
12,12,2017,Star Wars Ep. VIII: The Last Jedi,"$1,316,721,747","$620,181,382","$696,540,365"
13,13,2018,Jurassic World: Fallen Kingdom,"$1,305,772,799","$417,719,760","$888,053,039"
14,14,2013,Frozen,"$1,272,469,910","$400,738,009","$871,731,901"
15,15,2017,Beauty and the Beast,"$1,259,199,706","$504,014,165","$755,185,541"
16,16,2018,Incredibles 2,"$1,242,532,436","$608,581,744","$633,950,692"
17,17,2017,The Fate of the Furious,"$1,234,846,267","$225,764,765","$1,009,081,502"
18,18,2013,Iron Man 3,"$1,215,392,272","$408,992,272","$806,400,000"
19,19,2015,Minions,"$1,160,336,173","$336,045,770","$824,290,403"
20,20,2018,Aquaman,"$1,146,894,640","$335,061,807","$811,832,833"
1,21,2003,The Lord of the Rings: The Return of the King,"$1,141,403,341","$377,845,905","$763,557,436"
2,22,2016,Captain America: Civil War,"$1,140,069,413","$408,084,349","$731,985,064"
3,23,2011,Transformers: Dark of the Moon,"$1,123,790,543","$352,390,543","$771,400,000"
4,24,2019,Captain Marvel,"$1,120,214,986","$421,451,815","$698,763,171"
5,25,2012,Skyfall,"$1,110,526,981","$304,360,277","$806,166,704"
6,26,2014,Transformers: Age of Extinction,"$1,104,039,076","$245,439,076","$858,600,000"
7,27,2012,The Dark Knight Rises,"$1,084,439,099","$448,139,099","$636,300,000"
8,28,2010,Toy Story 3,"$1,068,879,522","$415,004,880","$653,874,642"
9,29,2006,Pirates of the Caribbean: Dead Manâs Chest,"$1,066,215,812","$423,315,812","$642,900,000"
10,30,2016,Rogue One: A Star Wars Story,"$1,049,102,856","$532,177,324","$516,925,532"
11,31,2011,Pirates of the Caribbean: On Stranger Tides,"$1,045,663,875","$241,063,875","$804,600,000"
12,32,1993,Jurassic Park,"$1,038,812,584","$395,708,305","$643,104,279"
13,33,2017,Despicable Me 3,"$1,034,822,373","$264,624,300","$770,198,073"
14,34,1999,Star Wars Ep. I: The Phantom Menace,"$1,027,044,677","$474,544,677","$552,500,000"
15,35,2010,Alice in Wonderland,"$1,025,491,110","$334,191,110","$691,300,000"
16,36,2016,Finding Dory,"$1,021,215,193","$486,295,561","$534,919,632"
17,37,2016,Zootopia,"$1,019,704,348","$341,268,248","$678,436,100"
18,38,2012,The Hobbit: An Unexpected Journey,"$1,017,003,568","$303,003,568","$714,000,000"
19,39,2008,The Dark Knight,"$1,001,996,207","$533,720,947","$468,275,260"
20,40,1994,The Lion King,"$986,214,868","$421,785,283","$564,429,585"
21,41,2013,Despicable Me 2,"$975,216,835","$368,065,385","$607,151,450"
22,42,2001,Harry Potter and the Sorcererâs Stone,"$975,047,606","$317,871,467","$657,176,139"
23,43,2017,Jumanji: Welcome to the Jungle,"$964,496,193","$404,508,916","$559,987,277"
24,44,2007,Pirates of the Caribbean: At Worldâs End,"$963,420,425","$309,420,425","$654,000,000"
25,45,2016,The Jungle Book,"$962,854,547","$364,001,123","$598,853,424"
26,46,2010,Harry Potter and the Deathly Hallows: Part I,"$960,431,568","$296,131,568","$664,300,000"
27,47,2013,The Hobbit: The Desolation of Smaug,"$960,366,855","$258,366,855","$702,000,000"
28,48,2014,The Hobbit: The Battle of the Five Armies,"$945,577,621","$255,119,788","$690,457,833"
29,49,2007,Harry Potter and the Order of the Phoenix,"$943,076,457","$292,137,260","$650,939,197"
30,50,2004,Shrek 2,"$937,008,132","$441,226,247","$495,781,885"
31,51,2003,Finding Nemo,"$936,429,370","$380,529,370","$555,900,000"
32,52,2009,Harry Potter and the Half-Blood Prince,"$935,213,767","$302,089,278","$633,124,489"
33,53,2002,The Lord of the Rings: The Two Towers,"$934,699,645","$342,548,984","$592,150,661"
34,54,2018,Bohemian Rhapsody,"$898,598,280","$216,303,339","$682,294,941"
35,55,2005,Harry Potter and the Goblet of Fire,"$897,099,794","$290,201,752","$606,898,042"
36,56,2007,Spider-Man 3,"$894,860,230","$336,530,303","$558,329,927"
37,57,2001,The Lord of the Rings: The Fellowship of the Ring,"$887,210,985","$315,544,750","$571,666,235"
38,58,2016,The Secret Life of Pets,"$886,767,422","$368,384,330","$518,383,092"
39,59,2017,Spider-Man: Homecoming,"$880,166,350","$334,201,140","$545,965,210"
40,60,2012,Ice Age: Continental Drift,"$879,765,137","$161,321,843","$718,443,294"
41,61,2015,Spectre,"$879,620,923","$200,074,175","$679,546,748"
42,62,2002,Harry Potter and the Chamber of Secrets,"$879,225,135","$262,233,381","$616,991,754"
43,63,2016,Batman v Superman: Dawn of Justice,"$867,500,281","$330,360,194","$537,140,087"
44,64,2013,The Hunger Games: Catching Fire,"$864,868,047","$424,668,047","$440,200,000"
45,65,2017,Guardians of the Galaxy Vol 2,"$862,316,233","$389,813,101","$472,503,132"
46,66,2009,Ice Age: Dawn of the Dinosaurs,"$859,701,857","$196,573,705","$663,128,152"
47,67,2017,Zhan Lang 2,"$858,603,067","$2,721,100","$855,881,967"
